"","Arr","Sites","Quantity","Private","Type","Side","Date","UWS_subj","str_seedling","str_reproduction","str_dead","str_decomposition","str_strata","str_colours","spa_topography","spa_ distribution","spa_margins","spa_artifacts","spa_perception","ant_limiting","ant_pruning","ant_structures","ant_planting","ant_litter","Complexity - cumulative","Spatial - cumulative","Management - cumulative","Total wildness - cumulative","Complexity","Spatial","Management","Total wildness","Comments","Issues encountered","ID_site","geometry","fid","code_insee","code_iris","X_code_dep","X_nom_iris","X_type_iris","X_revenus_m","X_pop_tot21","X_pop_fr21","X_pop_etr21","X_pop_imm21","X_area_iris","X_id_row","X_area_TV_b","X_.area_TV_","revenus_me","X_d_iris_GI","X_d_iris_un"
"28","Neuilly",7,1,0,"2","/","July 2024",3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,2,8,5,0,2,2.33333333333333,NA,NA,"NEU_7",c(645809.722708582, 6865840.1013937),11247,"92051","920510401","92","Parc de Neuilly 1","H",51700,2003,1806,197,288,109566,1680,49806,45,56445,0.534,1.3
"29","Neuilly",8,1,0,"2","/","April 2023",2,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,5,1,3,9,4.16666666666667,1,3,2.72222222222222,NA,NA,"NEU_8",c(646703.859220618, 6866504.58235778),11692,"92051","920510405","92","Parc de Neuilly 5","H",49180,3076,2783,293,490,219912,1764,104324,47,56445,0.534,1.3
"30","Neuilly",9,1,0,"2","(Even)","October 2025",2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5,0,2,7,4.16666666666667,0,2,2.05555555555556,NA,NA,"NEU_9",c(646374.303193201, 6864963.01485329),11021,"92051","920510305","92","Plaine des Sablons 5","H",58030,2598,2319,279,385,129656,1636,25692,20,56445,0.534,1.3
"31","Neuilly",10,1,0,"2","(Odd)","April 2022",2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"NEU_10",c(645875.563188512, 6865744.96278428),11247,"92051","920510401","92","Parc de Neuilly 1","H",51700,2003,1806,197,288,109566,1680,49806,45,56445,0.534,1.3
"32","Neuilly",11,0,1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"NEU_11",c(645344.983214395, 6864848.09179844),2582,"92051","920510101","92","Saint-James","H",75050,2272,1921,352,499,216546,283,102819,47,56445,0.534,1.3
"33","Neuilly",12,0,0,"2","(Odd)","November 2024",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0.833333333333333,0,1,0.611111111111111,NA,NA,"NEU_12",c(645551.763004365, 6865155.28694743),11075,"92051","920510308","92","Plaine des Sablons 8","H",50580,2061,1819,241,325,89738,1653,7181,8,56445,0.534,1.3
"34","Neuilly",13,1,0,"2","Odd","April 2023",2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,2,5,2.5,0,2,1.5,NA,NA,"NEU_13",c(645642.261345866, 6864952.04797753),6415,"92051","920510104","92","Saint-James Madrid 3","H",62260,2522,2203,319,411,191687,647,58842,31,56445,0.534,1.3
"35","Neuilly",14,0,0,"2","Odd","April 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0.333333333333333,"Just trees.",NA,"NEU_14",c(646711.756616046, 6864813.11264098),10879,"92051","920510303","92","Plaine des Sablons 3","H",60890,2158,1949,209,298,64878,1602,9057,14,56445,0.534,1.3
"36","Neuilly",15,1,0,"2","Even","May 2022",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,4.16666666666667,0,1,1.72222222222222,NA,NA,"NEU_15",c(645053.904269707, 6864702.94716355),5555,"92051","920510103","92","Saint-James Madrid 2","H",47920,2409,2197,212,388,213408,540,66696,31,56445,0.534,1.3
"37","Neuilly",16,1,0,"2","(Odd)","July 2024",3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,2,8,5,0,2,2.33333333333333,NA,NA,"NEU_16",c(646677.238144794, 6866241.27492643),11579,"92051","920510403","92","Parc de Neuilly 3","H",74740,1557,1379,178,268,179601,1734,97685,54,56445,0.534,1.3
"38","Neuilly",17,1,0,"2","/","April 2022",3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,2,8,5,0,2,2.33333333333333,NA,NA,"NEU_17",c(645974.858845174, 6865698.44211909),11579,"92051","920510403","92","Parc de Neuilly 3","H",74740,1557,1379,178,268,179601,1734,97685,54,56445,0.534,1.3
"39","Neuilly",18,0,0,"2","(Odd)","October 2025",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1.66666666666667,0,1,0.888888888888889,NA,NA,"NEU_18",c(646719.706978608, 6865437.99737726),11729,"92051","920510408","92","Parc de Neuilly 8","H",61910,2679,2396,283,440,158683,1777,75493,48,56445,0.534,1.3
"40","Neuilly",19,0,1,"1","(Even)","September 2017",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"NEU_19",c(647094.149821862, 6865887.15971115),11692,"92051","920510405","92","Parc de Neuilly 5","H",49180,3076,2783,293,490,219912,1764,104324,47,56445,0.534,1.3
"41","Neuilly",20,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"NEU_20",c(645856.6743616, 6864744.31484743),9292,"92051","920510201","92","Charles Laffitte 1","H",62220,1979,1699,281,353,113622,1336,31004,27,56445,0.534,1.3
"42","Neuilly",21,1,0,"2","Even","October 2025",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"NEU_21",c(646589.080084317, 6865110.04107561),11021,"92051","920510305","92","Plaine des Sablons 5","H",58030,2598,2319,279,385,129656,1636,25692,20,56445,0.534,1.3
"43","Neuilly",22,1,1,"2","(Even)","October 2025",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,4.16666666666667,0,1,1.72222222222222,NA,NA,"NEU_22",c(644836.936183261, 6864254.64095741),4235,"92051","920510102","92","Saint-James Madrid 1","H",62880,2134,1925,209,297,118342,410,52740,45,56445,0.534,1.3
"44","Neuilly",23,1,0,"2",NA,"October 2025",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,4.16666666666667,0,1,1.72222222222222,NA,NA,"NEU_23",c(646358.221657671, 6865364.60507244),11247,"92051","920510401","92","Parc de Neuilly 1","H",51700,2003,1806,197,288,109566,1680,49806,45,56445,0.534,1.3
"45","7e",1,1,0,"2","(Even)","May 2023",3,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,6,1,3,10,5,1,3,3,NA,NA,"7E_1",c(648968.284922327, 6861208.8056382),15175,"75115","751155812","75","Necker 12","H",50120,1896,1637,258,346,76775,2547,16563,22,37053,0.364,2.4
"46","7e",2,0,0,"1","(Even)","July 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,5,0.833333333333333,1,3,1.61111111111111,NA,NA,"7E_2",c(649003.951207499, 6862175.92280564),14681,"75107","751072804","75","Gros Caillou 4","H",44420,2819,2218,601,700,90633,2188,10614,12,54890,0.646,0.9
"47","7e",3,1,0,"2","Odd","April 2024",3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,5,0,2,7,4.16666666666667,0,2,2.05555555555556,"Along a parc",NA,"7E_3",c(649646.575804978, 6861484.20396459),14664,"75107","751072706","75","École Militaire 6","H",46120,1652,1504,148,192,112197,2184,30777,27,54890,0.646,0.9
"48","7e",4,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"7E_4",c(650032.694952345, 6861242.89645097),14641,"75107","751072701","75","École Militaire 1","H",46930,2537,2271,266,412,97664,2179,15258,16,54890,0.646,0.9
"49","7e",5,0,0,"2","/","July 2022",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,2.5,0,1,1.16666666666667,NA,NA,"7E_5",c(648893.587033398, 6862308.110734),14684,"75107","751072805","75","Gros Caillou 5","H",41040,2849,2328,521,631,76276,2189,11447,15,54890,0.646,0.9
"50","7e",6,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"7E_6",c(649011.454042392, 6862027.96162754),14678,"75107","751072803","75","Gros Caillou 3","H",39040,1493,1305,188,217,46297,2187,3252,7,54890,0.646,0.9
"51","7e",7,0,0,"1","(Even)","June 2024",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"7E_7",c(649860.594625443, 6861962.72714727),14633,"75107","751072602","75","Invalides 2","H",56170,1104,962,142,198,207934,2176,72529,35,54890,0.646,0.9
"52","7e",8,1,0,"2","/","April 2024",4,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,5,2,4,11,4.16666666666667,2,4,3.38888888888889,"Vegetated areas but also a lot of spontaneous vegetation ! So there are the advantages of spontaneous vegetation as well, like saying unplanted species",NA,"7E_8",c(649677.143455635, 6861370.51578762),14664,"75107","751072706","75","École Militaire 6","H",46120,1652,1504,148,192,112197,2184,30777,27,54890,0.646,0.9
"53","7e",9,0,0,"2","/","June 2022",1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,4,0,2,6,3.33333333333333,0,2,1.77777777777778,NA,NA,"7E_9",c(649537.392813247, 6861333.92368218),14649,"75107","751072702","75","École Militaire 2","H",51220,1642,1411,232,290,108124,2180,26538,25,54890,0.646,0.9
"54","7e",10,0,0,"1","Odd","April 2024",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"7E_10",c(650057.228859974, 6861705.27119982),14628,"75107","751072601","75","Invalides 1","H",55100,1810,1563,247,323,163461,2175,33311,20,54890,0.646,0.9
"55","7e",11,0,1,"1","Even","April 2024",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"7E_11",c(650066.895136082, 6861379.37575064),14664,"75107","751072706","75","École Militaire 6","H",46120,1652,1504,148,192,112197,2184,30777,27,54890,0.646,0.9
"56","7e",12,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"7E_12",c(650300.772943187, 6862209.13252636),14623,"75107","751072504","75","Saint-Thomas d'Aquin 4","H",50500,1332,1124,207,255,109166,2172,23839,22,54890,0.646,0.9
"57","7e",13,0,0,"2","/","June 2024",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,2,6,3.33333333333333,0,2,1.77777777777778,NA,NA,"7E_13",c(649524.901068862, 6861753.25184236),1106,"75107","751072606","75","Invalides 6","D",NA,272,265,7,19,311989,149,130603,42,54890,0.646,0.9
"58","7e",14,0,1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"7E_14",c(650485.951892092, 6862498.8891993),14640,"75107","751072604","75","Invalides 4","H",58780,1176,992,185,251,159871,2178,26164,16,54890,0.646,0.9
"59","7e",15,1,0,"2","/","June 2024",3,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,6,1,4,11,5,1,4,3.33333333333333,NA,NA,"7E_15",c(648714.454852477, 6862711.1249129),1110,"75107","751072899","75","Seine et Berges 3","D",NA,0,0,0,0,208781,152,37947,18,54890,0.646,0.9
"60","7e",16,0,0,"1","Odd","June 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"7E_16",c(649279.23864828, 6861184.94767734),14654,"75107","751072703","75","École Militaire 3","H",66680,1753,1581,172,236,42730,2181,5444,13,54890,0.646,0.9
"61","7e",17,1,0,"2","/","April 2024",1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,4,0,5,9,3.33333333333333,0,5,2.77777777777778,"Il y a un terre-plein, mais non piéton… Je vais ne pas le compter, puisque c'est un cas assez particulier, plus à destination des.. Voitures ? De toute facon, il y a aussi un espace un peu végétaliser du côté piétion",NA,"7E_17",c(649396.504814115, 6861755.48382097),14663,"75107","751072705","75","École Militaire 5","H",68670,1795,1571,224,306,113308,2183,32100,28,54890,0.646,0.9
"62","7e",18,1,0,"2","/","May 2019",2,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,5,2,3,10,4.16666666666667,2,3,3.05555555555556,NA,NA,"7E_18",c(649150.913912044, 6861782.09780231),14663,"75107","751072705","75","École Militaire 5","H",68670,1795,1571,224,306,113308,2183,32100,28,54890,0.646,0.9
"63","7e",19,0,1,"1","Even","September 2025",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"7E_19",c(650100.475407774, 6862210.85425949),14628,"75107","751072601","75","Invalides 1","H",55100,1810,1563,247,323,163461,2175,33311,20,54890,0.646,0.9
"64","7e",20,0,0,"1","Even","June 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,5,0.833333333333333,1,3,1.61111111111111,NA,NA,"7E_20",c(649756.355366771, 6862211.60445663),1106,"75107","751072606","75","Invalides 6","D",NA,272,265,7,19,311989,149,130603,42,54890,0.646,0.9
"65","7e",21,1,0,"2","Odd","June 2022",3,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,6,1,2,9,5,1,2,2.66666666666667,NA,NA,"7E_21",c(649322.371416717, 6861669.39659264),14663,"75107","751072705","75","École Militaire 5","H",68670,1795,1571,224,306,113308,2183,32100,28,54890,0.646,0.9
"66","7e",22,0,0,"1","Even","June 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,"Encore une fois, terre plein non piéton, donc prend le trottoir",NA,"7E_22",c(648664.492278192, 6862289.00833271),14688,"75107","751072808","75","Gros Caillou 8","H",59570,1540,1357,182,225,59934,2192,7081,12,54890,0.646,0.9
"67","7e",23,0,1,"1","both","May 2024",2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,NA,NA,"7E_23",c(648716.003724185, 6862057.25722335),14686,"75107","751072806","75","Gros Caillou 6","H",77180,1785,1507,279,386,109694,2190,41984,38,54890,0.646,0.9
"68","7e",24,0,0,"1","Even","June 2022",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,NA,NA,"7E_24",c(650127.160317044, 6862583.14261039),14640,"75107","751072604","75","Invalides 4","H",58780,1176,992,185,251,159871,2178,26164,16,54890,0.646,0.9
"69","7e",25,1,0,"2","(Odd)","June 2024",3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,5,1,1,7,4.16666666666667,1,1,2.05555555555556,"Terre-plein semblant non piéton (marche difficile), mais avec des bancs… donc ok",NA,"7E_25",c(648844.563669357, 6862489.79883505),14689,"75107","751072809","75","Gros Caillou 9","H",52430,1540,1297,243,327,125573,2193,30652,24,54890,0.646,0.9
"70","7e",26,1,0,"2","/","May 2022",2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,6,1,1,8,5,1,1,2.33333333333333,NA,NA,"7E_26",c(648344.092401835, 6861904.88218943),14687,"75107","751072807","75","Gros Caillou 7","H",74290,1734,1498,237,337,107901,2191,39473,37,54890,0.646,0.9
"71","7e",27,1,1,"2","/","May 2022",3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,5,1,3,9,4.16666666666667,1,3,2.72222222222222,NA,NA,"7E_27",c(648274.062303034, 6862033.38624817),14687,"75107","751072807","75","Gros Caillou 7","H",74290,1734,1498,237,337,107901,2191,39473,37,54890,0.646,0.9
